[,   2,fffe,fff3,5ff2, a67,52e9,  24,   f, 4db,9065,f154,9ca6
[,   1,fffa,fff7,a126,3e9d,4f35,  27,  10, 4d9,3747,f2a0,d692
[,   1,   c,   2,8bf0,933e,bf47,  26,   f, 4dc,c9bf, a7b,6703
], 50045,   7,ffff,fffd,3b95,2c0a,219b,  27,  12, 4dd,73e7,6cb6,e1e7, 70b
[,   6,fffe,fff5,7f49,4fc8, 300,  26,  13, 4da,7d63,b3af,cd8a
[,fffb,fff6,fffc,2333,bbe7,84bb,  27,  13, 4df,34d4, 34e,4b9c
[,   8,   6,fff9,2c27,1b8d,32f7,  26,   f, 4dc,3bc3,2720,e578
[,   3,fff8,   7,609d,6077,7c5d,  24,  10, 4dc,bec0,b7c6,e217
[,   3,   1,fff1,d67d,711e,c4c0,  25,  12, 4dc,f1d7, 37c,b9f4
[,   2,   1,   2,3f9a,5171,6239,  26,  13, 4dc,7e20,9ca1,e924
[,   3,   5,fffd,8753,b4c7,fffa,  24,  11, 4dd,ed5d,2e60,c263
[,fffc,   a,fff7,5c17,be08,e76b,  25,  11, 4d9,e086,dac5,9d58
[,   9,fff0,ffff,dfc3,9ded, cd4,  25,  10, 4dc,debe,7759,4551
], 49952,   7,   2,fff5,4edf,6f13,f740,  25,   f, 4de,1f33,c3c8,1dbe, 70b
[,ffff,fff8,fff4,4107,7c56, 502,  24,  11, 4db,be86,8a50,1b21
[,   d,fff4,fff8,3388,38b2,6963,  23,  12, 4db,e6dd,8918, bc9
[,   a,   a,   6,4f38,3566,c2a8,  25,  13, 4db,e1ac,4eb2,cfe6
[,   9,   6,fff0,d752, ce8,402d,  22,   f, 4dd,3179,cb98,7c33
[,   0,  10,   9,9660,d8c7,26ff,  22,  10, 4db,ae19,5ac8,1037
[,   2,fffd,   1,  f1,1653,847f,  27,  13, 4db, 806,2342,b5b0
[,   8,fff3,   0,947d,7eaa,5fdc,  26,  14, 4db,1349,97d6,2705
